run,img_and_tape_width,img_height_and_steps,original_size,compressed_size,compression,machine_start_position,yk,gk,ye,ge,yw,gw,yp,,,,,,,,,,,,,,,,
69721598-6715-11ee-b8f8-acde48001122,101,801,315,258,0.819047619047619,49,"[0, 1, -1]","[1, 2, -1]","[0, 3, 1]","[1, 1, 1]","[0, 0, 1]","[1, 0, -1]","[1, 1, 1]",49,"[0, 1, -1]","[1, 2, -1]","[0, 3, 1]","[1, 1, 1]","[0, 0, 1]","[1, 0, -1]","[1, 1, 1]",49,"[0, 1, -1]","[1, 2, -1]","[0, 3, 1]","[1, 1, 1]","[0, 0, 1]","[1, 0, -1]","[1, 1, 1]"
69faa944-6715-11ee-936f-acde48001122,101,2,83,21,0.25301204819277107,50,"[1, 1, -1]","[0, 1, 1]","[1, 2, -1]","[0, 2, -1]","[0, 2, 1]","[1, 1, -1]","[1, 3, 1]",50,"[1, 1, -1]","[0, 1, 1]","[1, 2, -1]","[0, 2, -1]","[0, 2, 1]","[1, 1, -1]","[1, 3, 1]",50,"[1, 1, -1]","[0, 1, 1]","[1, 2, -1]","[0, 2, -1]","[0, 2, 1]","[1, 1, -1]","[1, 3, 1]"
6a7e9222-6715-11ee-9dd5-acde48001122,101,801,3582,1175,0.3280290340591848,80,"[1, 0, 1]","[0, 1, -1]","[0, 0, -1]","[1, 2, 1]","[1, 0, 1]","[1, 1, 1]","[1, 0, 1]",80,"[1, 0, 1]","[0, 1, -1]","[0, 0, -1]","[1, 2, 1]","[1, 0, 1]","[1, 1, 1]","[1, 0, 1]",80,"[1, 0, 1]","[0, 1, -1]","[0, 0, -1]","[1, 2, 1]","[1, 0, 1]","[1, 1, 1]","[1, 0, 1]"
6b0c61e2-6715-11ee-b1d1-acde48001122,101,801,315,258,0.819047619047619,57,"[0, 0, -1]","[1, 3, 1]","[1, 2, -1]","[0, 1, -1]","[1, 2, 1]","[0, 1, -1]","[0, 1, 1]",57,"[0, 0, -1]","[1, 3, 1]","[1, 2, -1]","[0, 1, -1]","[1, 2, 1]","[0, 1, -1]","[0, 1, 1]",57,"[0, 0, -1]","[1, 3, 1]","[1, 2, -1]","[0, 1, -1]","[1, 2, 1]","[0, 1, -1]","[0, 1, 1]"
6baa4ede-6715-11ee-9996-acde48001122,101,801,2041,660,0.32337089661930424,57,"[1, 0, -1]","[1, 0, -1]","[0, 2, -1]","[0, 0, -1]","[0, 0, -1]","[1, 0, 1]","[1, 1, -1]",57,"[1, 0, -1]","[1, 0, -1]","[0, 2, -1]","[0, 0, -1]","[0, 0, -1]","[1, 0, 1]","[1, 1, -1]",57,"[1, 0, -1]","[1, 0, -1]","[0, 2, -1]","[0, 0, -1]","[0, 0, -1]","[1, 0, 1]","[1, 1, -1]"
6c5de8c2-6715-11ee-8e37-acde48001122,101,1,70,13,0.18571428571428572,49,"[0, 2, -1]","[0, 1, 1]","[1, 2, 1]","[0, 2, 1]","[1, 3, 1]","[0, 2, 1]","[0, 1, -1]",49,"[0, 2, -1]","[0, 1, 1]","[1, 2, 1]","[0, 2, 1]","[1, 3, 1]","[0, 2, 1]","[0, 1, -1]",49,"[0, 2, -1]","[0, 1, 1]","[1, 2, 1]","[0, 2, 1]","[1, 3, 1]","[0, 2, 1]","[0, 1, -1]"
6cead46c-6715-11ee-9bcc-acde48001122,101,1,77,19,0.24675324675324675,49,"[1, 2, -1]","[0, 1, 1]","[0, 3, 1]","[0, 3, -1]","[1, 0, -1]","[1, 2, -1]","[0, 2, -1]",49,"[1, 2, -1]","[0, 1, 1]","[0, 3, 1]","[0, 3, -1]","[1, 0, -1]","[1, 2, -1]","[0, 2, -1]",49,"[1, 2, -1]","[0, 1, 1]","[0, 3, 1]","[0, 3, -1]","[1, 0, -1]","[1, 2, -1]","[0, 2, -1]"
6d6f6e2a-6715-11ee-b901-acde48001122,101,1,70,13,0.18571428571428572,51,"[0, 2, 1]","[0, 1, -1]","[0, 0, 1]","[1, 1, -1]","[1, 3, -1]","[0, 0, 1]","[0, 1, 1]",51,"[0, 2, 1]","[0, 1, -1]","[0, 0, 1]","[1, 1, -1]","[1, 3, -1]","[0, 0, 1]","[0, 1, 1]",51,"[0, 2, 1]","[0, 1, -1]","[0, 0, 1]","[1, 1, -1]","[1, 3, -1]","[0, 0, 1]","[0, 1, 1]"
6df3353e-6715-11ee-a158-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 2, 1]","[1, 2, -1]","[1, 2, -1]","[1, 0, -1]","[1, 1, 1]","[1, 3, -1]","[0, 3, 1]",51,"[1, 2, 1]","[1, 2, -1]","[1, 2, -1]","[1, 0, -1]","[1, 1, 1]","[1, 3, -1]","[0, 3, 1]",51,"[1, 2, 1]","[1, 2, -1]","[1, 2, -1]","[1, 0, -1]","[1, 1, 1]","[1, 3, -1]","[0, 3, 1]"
6e7451be-6715-11ee-a10c-acde48001122,101,801,332,268,0.8072289156626506,61,"[1, 1, 1]","[0, 3, 1]","[0, 0, -1]","[1, 3, -1]","[0, 1, -1]","[0, 1, 1]","[1, 0, -1]",61,"[1, 1, 1]","[0, 3, 1]","[0, 0, -1]","[1, 3, -1]","[0, 1, -1]","[0, 1, 1]","[1, 0, -1]",61,"[1, 1, 1]","[0, 3, 1]","[0, 0, -1]","[1, 3, -1]","[0, 1, -1]","[0, 1, 1]","[1, 0, -1]"
7d065a9c-6715-11ee-9a7a-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 3, 1]","[0, 0, -1]","[1, 2, -1]","[0, 2, -1]","[0, 3, -1]","[0, 3, 1]","[1, 2, -1]",51,"[1, 3, 1]","[0, 0, -1]","[1, 2, -1]","[0, 2, -1]","[0, 3, -1]","[0, 3, 1]","[1, 2, -1]",51,"[1, 3, 1]","[0, 0, -1]","[1, 2, -1]","[0, 2, -1]","[0, 3, -1]","[0, 3, 1]","[1, 2, -1]"
7d8b56ac-6715-11ee-ada2-acde48001122,101,1,77,19,0.24675324675324675,49,"[1, 2, -1]","[1, 3, 1]","[0, 1, -1]","[0, 2, -1]","[0, 1, -1]","[1, 3, -1]","[1, 2, 1]",49,"[1, 2, -1]","[1, 3, 1]","[0, 1, -1]","[0, 2, -1]","[0, 1, -1]","[1, 3, -1]","[1, 2, 1]",49,"[1, 2, -1]","[1, 3, 1]","[0, 1, -1]","[0, 2, -1]","[0, 1, -1]","[1, 3, -1]","[1, 2, 1]"
7e0f07cc-6715-11ee-8610-acde48001122,101,1,70,13,0.18571428571428572,51,"[0, 2, 1]","[1, 0, 1]","[1, 3, 1]","[0, 2, -1]","[0, 3, 1]","[1, 2, -1]","[1, 2, 1]",51,"[0, 2, 1]","[1, 0, 1]","[1, 3, 1]","[0, 2, -1]","[0, 3, 1]","[1, 2, -1]","[1, 2, 1]",51,"[0, 2, 1]","[1, 0, 1]","[1, 3, 1]","[0, 2, -1]","[0, 3, 1]","[1, 2, -1]","[1, 2, 1]"
7e8bc87a-6715-11ee-9838-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 2, 1]","[1, 1, 1]","[1, 1, -1]","[0, 1, -1]","[1, 2, 1]","[1, 3, -1]","[0, 0, 1]",51,"[1, 2, 1]","[1, 1, 1]","[1, 1, -1]","[0, 1, -1]","[1, 2, 1]","[1, 3, -1]","[0, 0, 1]",51,"[1, 2, 1]","[1, 1, 1]","[1, 1, -1]","[0, 1, -1]","[1, 2, 1]","[1, 3, -1]","[0, 0, 1]"
7f14ca94-6715-11ee-bcf2-acde48001122,101,1,70,13,0.18571428571428572,51,"[0, 2, 1]","[0, 2, -1]","[1, 1, 1]","[0, 3, 1]","[0, 2, 1]","[1, 3, 1]","[1, 2, -1]",51,"[0, 2, 1]","[0, 2, -1]","[1, 1, 1]","[0, 3, 1]","[0, 2, 1]","[1, 3, 1]","[1, 2, -1]",51,"[0, 2, 1]","[0, 2, -1]","[1, 1, 1]","[0, 3, 1]","[0, 2, 1]","[1, 3, 1]","[1, 2, -1]"
